,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
150,COOLTRANS,LUMMEN,91,28920354,20510888,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 52 07 88,,BE0412546146,6160989,0412 546 146,Klaverbladstraat 32,3560,,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
151,A.V.L.WONINGBOUW,BERINGEN,56,28836341,6619468,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 45 02 80,info@avlwoningbouw.be,BE0431907445,3822464,0431 907 445,Lochtemanweg 16,3580,www.avlwoningbouw.be,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
152,RADIANT COLOR,HOUTHALEN,75,28813234,26255210,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 52 07 60,info@radiantcolor.be,BE0431677318,13992907,0431 677 318,Europark 1046,3530,www.radiantcolor.be,Vervaardiging van kleurstoffen en pigmenten,Niet beursgenoteerd
153,SCHOELLER ALLIBERT BELGIUM,PAAL,36,28537905,22236250,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 39 34 45,bipp@bipp.be,BE0462382667,5633101,0462 382 667,Industrieweg 143,3583,www.bipp.be,"Groothandel in andere machines en werktuigen, n.e.g.",Niet beursgenoteerd
154,AIR SERVICE LIEGE,HASSELT,23,28339650,16899078,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 29 50 16,info@asl.be,BE0461940625,2585769,0461 940 625,Voogdijstraat 29,3500,www.airserviceliege.be,Personenvervoer door de lucht,Niet beursgenoteerd
155,B.R.T.,MAASMECHELEN,41,28279741,19904884,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 70 02 20,,BE0478068260,8202254,0478 068 260,Rijksweg 555,3630,www.brt.be,"Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal",Niet beursgenoteerd
156,EIERHANDEL KUMPEN ERIK,SCHULEN,15,28249614,6947250,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 473 848 639,,BE0422881101,-70019,0422 881 101,Sint-Jorislaan 57,3540,,"Groothandel in andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
157,RYMOPLAST,LOMMEL,64,28161797,31103375,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 55 14 64,,BE0439659131,7760368,0439 659 131,Maatheide 94,3920,,Terugwinning van inerte afvalstoffen,Niet beursgenoteerd
158,DELAHAYE - LAUWERS,BERINGEN,8,28018253,16390975,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 42 47 04,info@delahaye.be,BE0404521078,2645607,0404 521 078,Terbekstraat 40,3580,www.delahaye-lauwers.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
159,EUREGIO RECYCLING BELGIUM,ZUTENDAAL,11,27876772,16516044,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 68 01 85,,BE0674517214,2325578,0674 517 214,Tiendenstraat 5,3690,,Sloop van wrakken,Niet beursgenoteerd
160,DERDAELE +,LOMMEL,45,27642273,11197766,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 52 13 73,info@jeugdstadion.be,BE0445714109,4172492,0445 714 109,Gerard Mercatorstraat 24,3920,www.derdaele.be,Vervaardiging van metalen constructiewerken en delen daarvan,Niet beursgenoteerd
161,DRUKKERIJ MODERNA,PAAL,54,27638864,34670185,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 45 21 55,sales@moderna.be,BE0434281371,6179450,0434 281 371,Schoebroekstraat 50,3583,www.moderna.be,Overige drukkerijen,Niet beursgenoteerd
162,EVAPCO EUROPE,'S HERENELDEREN,149,27589800,21248040,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 39 50 29,evapco.europe@evapco.be,BE0464685725,10094309,0464 685 725,Heersterveldweg 19,3700,www.evapco.com,"Vervaardiging van machines en apparaten voor de koeltechniek en de  klimaatregeling, voor niet-huishoudelijk gebruik",Niet beursgenoteerd
163,GENERAL LEASE,TONGEREN,34,27500372,55594713,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 800 999 99,info@rentacar.be,BE0431586751,15211837,0431 586 751,Overhaamlaan 71,3700,www.rentacar.be,Financiële lease,Niet beursgenoteerd
164,LIMBURGSE TUINBOUWVEILING,HERK-DE-STAD,8,27471293,10867806,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 55 45 08,info@ltv.be,BE0430825401,959893,0430 825 401,Industrieweg 1035,3540,www.ltv.be,Handelsbemiddeling gespecialiseerd in andere goederen,Niet beursgenoteerd
165,BOUWMATERIALEN JORISSEN,TONGEREN,27,27313110,13093722,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 24 22 60,bouwjor@skynet.be,BE0426085762,3174915,0426 085 762,Vrijheidweg 11,3700,www.adimat.be/jorissen/,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
166,JIFFY PACKAGING,WELLEN,135,27050063,23950574,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 37 01 11,,BE0404798222,9710394,0404 798 222,Bodemstraat 11,3830,,Vervaardiging van verpakkingsmateriaal van kunststof,Niet beursgenoteerd
167,ALGECO BELGIUM,PAAL,71,27027177,21750346,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 45 72 11,info@algeco.be,BE0403419634,14083056,0403 419 634,Schoebroekstraat 34 36,3583,www.algeco.be,Verhuur en lease van woon- en bureelcontainers en dergelijke accommodatie,Niet beursgenoteerd
168,MOBIX STEVENS,HALEN,139,26879557,16776180,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 44 15 71,info@stevensco.be,BE0406783851,10500281,0406 783 851,Stadsbeemd 1314,3545,www.stevensco.be,Bouw van civieltechnische werken voor elektriciteit en telecommunicatie,Niet beursgenoteerd
169,CIRIL,HASSELT,9,26639189,36884632,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 475 469 987,democo@democo.be,BE0440712768,1629205,0440 712 768,Herkenrodesingel 4 B,3500,www.dmi.be,Ontwikkeling van residentiële bouwprojecten,Niet beursgenoteerd
170,BMP BUILDING SERVICES,TESSENDERLO,34,26619326,12103301,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 57 22 54,info@bouwwerkenpeeters.be,BE0431781345,2917863,0431 781 345,Aubruggestraat 23,3980,www.bouwwerkenpeeters.be,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
171,IZICO BELGIUM,BOCHOLT,18,26366179,36228678,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 499 258 799,customer@beckers-be.com,BE0429874405,2274259,0429 874 405,Goolderheideweg 23,3950,www.beckers.be,Niet-gespecialiseerde groothandel in diepgevroren voedingsmiddelen,Niet beursgenoteerd
172,EBTS PRO ASSIST,HASSELT,36,26296540,7815817,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 30 11 11,,BE0508771532,2944139,0508 771 532,Kiewitstraat 194,3500,www.ebts.eu,Overige vervoerondersteunende activiteiten,Niet beursgenoteerd
173,BIO - RACER,TESSENDERLO,69,26243204,16749560,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 67 13 67,info@bioracer.com,BE0437878883,5907557,0437 878 883,Industrieweg 114,3980,www.bioracer.com,"Vervaardiging van andere kleding en toebehoren, n.e.g.",Niet beursgenoteerd
174,TIMMERS CRANES AND STEELWORKS,HOUTHALEN,100,26194471,13021192,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 18 48 09,,BE0438239961,8178456,0438 239 961,Europark 1002,3530,www.timmers.be,Vervaardiging van metalen constructiewerken en delen daarvan,Niet beursgenoteerd
175,GROUP CEYSSENS,ZOLDER,82,26139989,12383404,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 76 41 63,GLASCEYSSENS@SKYNET.BE,BE0415037165,6895636,0415 037 165,Mijnwerkerslaan 35,3550,glasceyssens.com,Glaszetten,Niet beursgenoteerd
176,PAMI,PELT,88,26138348,20941884,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 80 07 00,info@pami.be,BE0434820019,5617369,0434 820 019,Industrielaan 20,3900,www.pami.be,Vervaardiging van kantoor- en winkelmeubelen,Niet beursgenoteerd
177,EIERHOEVE LECOQUE,'S HERENELDEREN,28,25905733,17325528,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 476 458 641,eierhoevelecoque@busmail.net,BE0464480144,4958703,0464 480 144,Heersterveldweg 12,3700,www.lecoque-eggs.be,"Vervaardiging van andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
178,IPTE FACTORY AUTOMATION,GENK,97,25869374,74087906,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 62 30 00,,BE0821278115,8622086,0821 278 115,Geleenlaan 5,3600,,"Vervaardiging van meet-, controle- en navigatie-instrumenten  en -apparatuur",Niet beursgenoteerd
179,ENESTIA BELGIUM,HAMONT,228,25769536,21296236,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 44 01 11,info@budelpack.be,BE0401304737,15360937,0401 304 737,Klöcknerstraat 1,3930,www.budelpack.com,Verpakkingsbedrijven,Niet beursgenoteerd
180,DRIESEN,GENK,29,25656579,15624900,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 62 38 50,,BE0462071970,2556383,0462 071 970,Henry Fordlaan 21,3600,www.driesen.be,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
181,BOSAL EMISSION CONTROL SYSTEMS,LUMMEN,114,25456804,32758457,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 53 08 00,pz.lummen@eur.bosal.com,BE0431440855,9502699,0431 440 855,Dellestraat 20,3560,www.bosal.be,"Ingenieurs en aanverwante technische adviseurs, exclusief landmeters",Niet beursgenoteerd
182,CEGEKA BUSINESS SOLUTIONS BELGIE,HASSELT,46,25381084,15000604,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 9 236 20 20,info@edan.be,BE0447328762,8373864,0447 328 762,Kempische Steenweg 307,3500,www.edan.be,Computerconsultancy-activiteiten,Niet beursgenoteerd
183,POLY VISION,GENK,126,25379385,17080970,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 32 31 30,,BE0426451194,9997767,0426 451 194,Zuiderring 56,3600,www.polyvision.com,Verspanend bewerken van metalen,Niet beursgenoteerd
184,ALDERS INTERNATIONAAL TRANSPORT,PELT,139,25193737,13000565,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 64 15 20,info@alders-transport.be,BE0424747756,8216858,0424 747 756,Emiel Vlieberghlaan 8,3900,www.alders-transport.be,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
185,PALEN EN IMPREGNEERBEDRIJF LENAERS,VLIERMAALROOT,1,25162783,6303352,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 37 55 11,,BE0422139050,1793647,0422 139 050,Herestraat 2,3721,,Groothandel in hout,Niet beursgenoteerd
186,SODIKO,DIEPENBEEK,34,25000432,8935121,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 85 05 40,info@sodiko.be,BE0444261582,3079536,0444 261 582,Demerstraat 9,3590,www.sodiko.be,Vervaardiging van cider en van andere vruchtenwijnen,Niet beursgenoteerd
187,MORREN MOTOR,SINT-TRUIDEN,32,24648149,12242173,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 68 68 52,info@morrenmotor.be,BE0406164140,2077827,0406 164 140,Luikersteenweg 131,3800,www.morrenmotor.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
188,METES,LANKLAAR,67,24596118,16853924,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 75 08 11,info@agis.be,BE0449840270,4412620,0449 840 270,Siemenslaan 2-4,3650,www.agis.be/,"Vervaardiging van overige artikelen van metaal, n.e.g.",Niet beursgenoteerd
189,DELORGE,SINT-TRUIDEN,31,24558345,6610392,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 70 01 40,,BE0893747112,1221157,0893 747 112,Spookvliegerlaan 1111,3800,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
190,PAESEN TRUCKS PEER,WIJCHMAAL,27,24462428,13212880,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 63 33 11,administratie-verkoop@paesen-peer.vtrucks.be,BE0419180649,4209714,0419 180 649,Achterstraat 36,3990,www.paesentrucks.be,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
191,STASSEN LANDBOUWPRODUCTEN,DILSEN,5,24441568,7118571,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 75 25 20,,BE0468896614,1392537,0468 896 614,Vlessersweg 70,3650,,"Groothandel in akkerbouwproducten en veevoeders, algemeen assortiment",Niet beursgenoteerd
192,BIONERGA,MAASMECHELEN,62,24391328,149925152,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 52 08 10,info@bionerga.be,BE0882280227,10762926,0882 280 227,Kringloopstraat 1,3630,www.bionerga.be,Overige verwerking en verwijdering van ongevaarlijk afval,Niet beursgenoteerd
193,BIDFOOD HORECA SERVICE,BERINGEN,100,24379020,20253233,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 45 85 45,info@bestfood.be,BE0451767107,3347275,0451 767 107,Lochtemanweg 10,3580,www.bestfood.be,"Groothandel in andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
194,ORBIX PRODUCTIONS,GENK,50,24321736,16951314,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 32 10 00,,BE0477301960,7772588,0477 301 960,Henry Fordlaan 84,3600,,Terugwinning van metaalafval,Niet beursgenoteerd
195,VAN CRANENBROEK OPGLABBEEK,OUDSBERGEN,41,24214993,7760486,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 51 83 00,,BE0453560716,2428137,0453 560 716,Weg naar Zwartberg 232,3660,www.vancranenbroek.nl,"Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
196,VAN MOSSEL FCA BELGIE,HASSELT,29,23947081,10328626,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 27 12 22,info@bruyninx.be,BE0429998525,1945426,0429 998 525,Hellebeemden 2,3500,www.fiat.be/,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
197,ILLOCHROMA HAONENG BELGIUM,GENK,69,23875109,39056525,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 84 80 84,,BE0835708646,5189584,0835 708 646,Henry Fordlaan 7,3600,www.illochroma.com,Vervaardiging van andere artikelen van papier of karton,Niet beursgenoteerd
198,V.N.W. TRANSPORT,HOUTHALEN,185,23598040,18087173,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 60 12 80,info@tdlgroup.be,BE0436041526,10847994,0436 041 526,Centrum-Zuid 1410,3530,www.tdlgroup.be,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
199,GARAGE RUTTEN,HECHTEL,24,23436569,16632289,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 60 41 70,info.rutten@garagerutten.be,BE0436066765,2685682,0436 066 765,Oude Heerstraat 14 b.1,3940,www.garagerutten.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
200,DELIVA,GENK,81,23417446,13743066,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 62 93 00,onthaal@deliva.be,BE0464302178,5458658,0464 302 178,Slingerweg 4,3600,www.deliva.be,"Vervaardiging van andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
201,ENZAFRUIT NEW ZEALAND (CONTINENT),SINT-TRUIDEN,13,23299885,5237637,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 67 39 54,continent.info@enzafruit.be,BE0425134568,2624304,0425 134 568,Tongersesteenweg 135,3800,www.enzafruit.be,"Groothandel in groenten en fruit, m.u.v. consumptieaardappelen",Niet beursgenoteerd
202,GEERTRANS-HELLINGS,EKSEL,175,23235338,17641127,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 36 95 43,info@transpo-hellings.com,BE0424285522,11780512,0424 285 522,Geerstraat 32,3940,www.transpo-hellings.com,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
203,HOOGMARTENS WEGENBOUW,OUDSBERGEN,68,23151940,9294979,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 81 02 30,info@hoogmartens.be,BE0422059173,5029539,0422 059 173,Industrieweg-Noord 1137,3660,www.hoogmartens.be,Bouw van autowegen en andere wegen,Niet beursgenoteerd
204,NIKITA,HERK-DE-STAD,79,23109381,8629134,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 55 31 18,nikita@idb.be,BE0411546947,4251699,0411 546 947,Industrieweg 1,3540,www.idb.be,"Vervaardiging van andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
205,VBG GROUP TRUCK EQUIPMENT,BERINGEN,15,23097129,7834544,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 60 90 90,,BE0430420474,1126929,0430 420 474,Lochtemanweg 50,3580,,Handelsbemiddeling en groothandel in onderdelen en accessoires van motorvoertuigen,Niet beursgenoteerd
206,FORESCO PACKAGING,GENK,86,22908438,24230886,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 32 97 20,info@foresco.be,BE0439243813,5830520,0439 243 813,Eikelaarstraat 32,3600,www.foresco.be,Vervaardiging van houten emballage,Niet beursgenoteerd
207,WARA-SHOP,GENK,53,22794214,10129358,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 38 18 66,,BE0407626959,4005892,0407 626 959,Stalenstraat 86,3600,www.wara.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
208,VEL - OIL,LUMMEN,1,22790668,6866734,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 35 14 10,info@vel-oil.be,BE0463616052,722486,0463 616 052,Lindekensveld 5 b.1.1,3560,www.vel-oil.be,Detailhandel in motorbrandstoffen in gespecialiseerde winkels,Niet beursgenoteerd
209,STOBART AUTOMOTIVE BELGIUM,GENK,118,22651577,19513633,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 30 09 50,info@walonbnl.com,BE0405855027,9055385,0405 855 027,Eikelaarstraat 28,3600,www.walonbnl.com,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
210,DAVO SINT-TRUIDEN,SINT-TRUIDEN,16,22418641,9586574,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 71 30 00,,BE0567926288,1547775,0567 926 288,Spookvliegerlaan 1131,3800,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
211,ASPIRAVI TRADING,GENK,1,22302056,14937633,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 63 60 43,,BE0640997180,-739881,0640 997 180,Thor Park 8300,3600,,Handel in elektriciteit,Niet beursgenoteerd
212,GARAGE G BECKERS,BILZEN,34,22219300,12847331,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 41 33 61,verkoop@garagebeckers.be,BE0428983686,2029635,0428 983 686,Maastrichterstraat 212,3740,www.garagebeckers.be,"Algemeen onderhoud en reparatie van auto's en lichte bestelwagens (? 3,5 ton)",Niet beursgenoteerd
213,VANDERMAESEN VISWAREN,ZOLDER,55,22158496,9860633,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 42 26 03,fish@vandermaesen.be,BE0437961631,4976946,0437 961 631,Westlaan 313,3550,www.vandermaesen.be,Detailhandel in vis en schaal- en weekdieren in gespecialiseerde winkels,Niet beursgenoteerd
214,SHAMROCK TECHNOLOGIES,'S HERENELDEREN,24,22068162,26903322,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 45 83 30,,BE0472315170,5428146,0472 315 170,Heersterveldweg 21,3700,www.shamrockeurope.com,Terugwinning van inerte afvalstoffen,Niet beursgenoteerd
215,DELORGE LOMMEL,LOMMEL,23,22017109,5632701,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 54 41 02,,BE0881374464,1083506,0881 374 464,Gerard Mercatorstraat 1,3920,www.groepdelorge.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
216,REYNDERS,HOUTHALEN,91,22010280,14019169,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 475 663 361,info@reynders.be,BE0411630683,5648924,0411 630 683,Centrum-Zuid 2049,3530,www.reynders.be,Algemene bouw van andere niet-residentiële gebouwen,Niet beursgenoteerd
217,POLYMER TEAM,TESSENDERLO,21,21862853,16392747,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 36 93 90,info@new-summit.com,BE0451811251,3917989,0451 811 251,Transportstraat 6,3980,www.polymerteam.com,Vervaardiging van kunststoffen in primaire vormen,Niet beursgenoteerd
218,OUDE KAZERNE,KAULILLE,5,21862144,18837501,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 44 71 00,kazerne@skynet.be,BE0465415007,1492466,0465 415 007,Industrieweg 3,3950,www.deoudekazerne.nl,Groothandel in fietsen,Niet beursgenoteerd
219,BROUWLAND,BEVERLO,62,21851314,6532014,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 474 844 067,,BE0412461618,5213526,0412 461 618,Korspelsesteenweg 86,3581,www.brouwland.com,"Overige detailhandel in voedingsmiddelen in gespecialiseerde winkels, n.e.g.",Niet beursgenoteerd
220,MELDERTSE PLAFONNEERARTIKELEN,LUMMEN,34,21839191,13521848,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 33 42 60,info@mpa-bouwspecialiteiten.be,BE0420882604,2207317,0420 882 604,Bosstraat 60,3560,,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
221,INTERTRADING,OUDSBERGEN,30,21776140,9376060,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 85 37 23,,BE0423983139,3793535,0423 983 139,Nijverheidslaan 1558,3660,intertrading-nv.be,Niet-gespecialiseerde groothandel,Niet beursgenoteerd
222,MARMORITH BETONINDUSTRIE,HOUTHALEN,107,21728644,19556184,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 84 84 84,info@marmorith.be,BE0401329085,10182015,0401 329 085,Zwaluwstraat 21,3530,www.marmorith.com,Vervaardiging van artikelen van beton voor de bouw,Niet beursgenoteerd
223,BIOTERRA,GENK,41,21706157,23704801,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 85 89 85,info@bioterra.be,BE0459473855,485442,0459 473 855,Bilzerweg 15,3600,www.bioterra.be,Bouwrijp maken van terreinen,Niet beursgenoteerd
224,HELVOET RUBBER & PLASTIC TECHNOLOGIES,LOMMEL,100,21497946,12047048,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 54 88 11,,BE0867662822,9756946,0867 662 822,Anton Philipsweg 4,3920,,"Vervaardiging van platen, vellen, buizen en profielen van kunststof",Niet beursgenoteerd
225,WATKINS EUROPE,LANKLAAR,13,21483334,15401926,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 62 32 70,,BE0474058893,5018027,0474 058 893,Siemenslaan 10,3650,www.watkinsmfg.com,"Groothandel in andere consumentenartikelen, n.e.g.",Niet beursgenoteerd
226,ELEMASTER NV,ZONHOVEN,16,21421986,21164958,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 22 04 54,sales@gdmelectronics.com,BE0442683155,1806130,0442 683 155,Senator A. Jeurissenlaan 1013,3520,www.gdmelectronics.com,Groothandel in elektronische en telecommunicatieapparatuur en delen  daarvan,Niet beursgenoteerd
227,ST-JORIS,JEUK,99,21209490,15493474,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 70 58 70,,BE0428130779,8807608,0428 130 779,Emile Beauduinstraat 11,3890,www.wasserij-stjoris.be,Activiteiten van wasserettes en wassalons ten behoeve van particulieren,Niet beursgenoteerd
228,SILMACO,LANAKEN,40,21159702,20369728,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 73 02 22,info@silmaco.com,BE0432069870,7291237,0432 069 870,Industrieweg 90,3620,www.silmaco.com,Vervaardiging van andere anorganische chemische basisproducten,Niet beursgenoteerd
229,LIMARU,PAAL,6,21121980,6831115,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 86 99 90,limaru@limaru.com,BE0449633305,3665849,0449 633 305,Paalsesteenweg 170 b.7,3583,www.limaru.com,Groothandel in chemische producten voor industrieel gebruik,Niet beursgenoteerd
230,OETERBETON,NEEROETEREN,80,21117351,32506835,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 86 01 00,info@oeterbeton.be,BE0415990240,8610052,0415 990 240,Hooggeistersveld 15,3680,www.oeterbeton.be,Vervaardiging van artikelen van beton voor de bouw,Niet beursgenoteerd
231,CSM,ACHEL,144,21033893,17888005,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 55 06 00,,BE0416505231,10358893,0416 505 231,Hamonterweg 103,3930,www.csm.be,Vervaardiging van metalen constructiewerken en delen daarvan,Niet beursgenoteerd
232,KONECRANES,LUMMEN,68,20891368,7681699,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 19 33 22 33,info.belgium@konecranes.com,BE0447730620,5123342,0447 730 620,Bosstraat 75 b.2,3560,nl.konecranes.be,Vervaardiging van machines voor de winning van delfstoffen en voor de bouw,Niet beursgenoteerd
