,Naam,Gemeente,"NACE BEL 2008,
primaire code","Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Turnover LY
dz EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",Ondernemingsnummer,Postcode,Adres,Telefoon,Web adres,E-mail adres
1591.,ECOVER BELGIUM,MALLE,46442,13,"26,107","12,643,412",0836 247 985,2390,Industrieweg 3,+32 3 309 25 00,www.ecover.com,
1592.,ROYAL ANTWERP FOOTBALL CLUB,DEURNE,93121,87,"26,102","23,779,010",0839 407 415,2100,Oude Bosuilbaan 54 A,+32 3 328 08 60,royalantwerpfc.be,
1593.,VITRA,WOMMELGEM,18120,85,"26,089","24,628,529",0404 066 960,2160,Gulkenrodestraat 4,+32 3 322 55 22,,info@vitrapack.be
1594.,METSA BOARD BENELUX,MECHELEN,46493,64,"26,075","5,060,860",0451 292 597,2800,Stationsstraat 55,+32 2 772 70 00,www.m-real.com,
1595.,CONTISTEEL,ZOLDER,46720,14,"26,072","12,938,971",0443 917 233,3550,Industrieweg 3,+32 13 53 03 40,,
1596.,HELIADIS BELGIUM,EPPEGEM,46389,11,"26,014","14,172,685",0877 320 458,1980,Houtemsestraat 42,+32 2 880 95 95,www.nawhals.com,
1597.,HUYGHE-BROUWERIJ VAN MELLE,MELLE,11050,35,"26,014","27,833,516",0427 403 279,9090,Brusselsesteenweg 282,+32 9 252 15 01,www.delirium.be,
1598.,STO,MOLLEM,46731,56,"26,013","10,512,789",0445 962 448,1730,Z. 5 Mollem 43,+32 2 453 01 10,www.isoned.be,info.be@stoeu.com
1599.,DE IDEALE WONING VAN HET ARRONDISSEMENT ANTWERPEN,BERCHEM-ANTWERPEN,68202,68,"25,979","485,203,282",0404 710 724,2600,Diksmuidelaan 276,+32 3 320 29 70,,infodeidealewoningcipal@woonnet.be
1600.,PVS CHEMICALS BELGIUM,GENT,20130,36,"25,976","19,164,755",0461 104 445,9000,Pantserschipstraat 80,+32 9 257 77 00,www.pvs.be,
1601.,TROEF,GENT,47591,45,"25,961","19,980,462",0421 093 133,9000,Blaisantvest 12 b.1,+32 9 381 53 62,www.detroef.be,
1602.,MEDIA MARKT ROESELARE,ROESELARE,47430,44,"25,957","9,407,865",0877 628 977,8800,Brugsesteenweg 435-439,+32 51 25 91 10,www.mediamarkt.be,
1603.,PAMI,PELT,31010,88,"25,951","21,247,696",0434 820 019,3900,Industrielaan 20,+32 11 80 07 00,www.pami.be,info@pami.be
1604.,WATTEX,BUGGENHOUT,13950,71,"25,949","27,092,084",0436 203 060,9255,Kalkenstraat 86,+32 52 39 93 70,www.wattex.com,accountancy@wattex.com
1605.,DE CRONOS GROEP,KONTICH,64200,87,"25,944","309,432,623",0467 132 994,2550,Veldkant 33 b.A,+32 3 450 80 30,cronos-groep.be,
1606.,VERBIEST,ANTWERPEN,46381,45,"25,935","9,396,374",0407 163 636,2020,Kielsbroek 27,+32 3 259 10 00,www.verbiest-vis.be,info@verbiest-vis.be
1607.,EIERHOEVE LECOQUE,'S HERENELDEREN,10890,28,"25,906","17,325,528",0464 480 144,3700,Heersterveldweg 12,+32 476 458 641,www.lecoque-eggs.be,eierhoevelecoque@busmail.net
1608.,JANSEN CLEANROOMS,OUDSBERGEN,46731,31,"25,821","13,041,381",0463 984 850,3670,Fabriekstraat 2,+32 15 28 50 10,www.cleanroom-systems.be,
1609.,IPTE FACTORY AUTOMATION,GENK,26110,96,"25,780","83,970,425",0821 278 115,3600,Geleenlaan 5,+32 89 62 30 00,,
1610.,AGORA CULINAIR VLEESBOERKE,HERENTALS,46321,28,"25,764","8,509,524",0416 161 573,2200,Grensstraat 4,+32 14 21 32 87,www.vleesboerke.be,info@vleesboerke.be
1611.,AUTOBEDRIJF DECKX - TEAM,TURNHOUT,45113,27,"25,763","6,900,850",0476 980 474,2300,Steenweg op Mol 24 28,+32 14 42 40 31,www.myway.be/deckx,info@deckx.audi.be
1612.,KINEPOLIS MULTI,KORTRIJK,59140,71,"25,757","45,795,509",0434 861 589,8500,President Kennedylaan 100A,+32 9 241 00 00,www.kinepolis.com,
1613.,DRAGER MEDICAL BELGIUM,WEMMEL,46460,83,"25,728","20,234,614",0402 121 121,1780,Heide 10,+32 2 462 62 11,www.draeger.nl/,info@draeger.com
1614.,HONDA ACCESS EUROPE,AALST,45310,49,"25,704","22,830,923",0454 807 165,9300,Wijngaardveld 1,+32 53 72 51 11,www.honda.be,info@honda-eu.com
1615.,STOBART AUTOMOTIVE BELGIUM,GENK,49410,126,"25,700","18,485,970",0405 855 027,3600,Eikelaarstraat 28,+32 89 30 09 50,www.walonbnl.com,info@walonbnl.com
1616.,SABCOBEL HEIDI FRIGOS,SINT-NIKLAAS,43222,97,"25,698","12,641,100",0408 064 350,9100,Industriepark-West 62,+32 3 766 16 23,www.sabcobel.be,info@sabcobel.be
1617.,VERCOM BELGIUM,MALDEGEM,46699,16,"25,665","12,602,046",0842 010 973,9990,Brugse Steenweg 224,+32 3 808 18 95,,
1618.,BALCHEM,GRIMBERGEN,46751,37,"25,663","20,024,426",0455 374 616,1850,Westvaartdijk 85,+32 2 251 60 87,www.chemogas.com,chemogas@chemogas.com
1619.,PHARMA FORCE,SINT-DENIJS-WESTREM,47730,113,"25,646","14,170,936",0859 585 888,9051,Poortakkerstraat 41G,+32 9 215 18 10,,
1620.,VAN MOER CHEMICALS,ZWIJNDRECHT,52100,77,"25,643","9,285,463",0437 523 943,2070,Vitshoekstraat 11,+32 3 361 20 01,,
1621.,MAN ENERGY SOLUTIONS BELGIUM,ANTWERPEN,46140,32,"25,637","13,623,430",0440 259 838,2030,Noorderlaan 181,+32 3 543 85 00,mandieselturbobenelux.com,
1622.,BOSCHMANS STEINACHER,ANTWERPEN,52290,25,"25,633","6,998,345",0404 515 239,2000,Binnenvaartstraat 85,+32 3 202 02 70,www.bosco.be,info@bosco.be
1623.,BRUSSELS CAR DISTRIBUTION,GROOT-BIJGAARDEN,45113,20,"25,621","5,540,734",0428 879 263,1702,Pastoor Cooremansstraat 1,+32 2 410 70 90,www.mitsubishi.be,
1624.,REMY COINTREAU BELGIUM,DIEGEM,46349,33,"25,612","18,519,100",0458 799 508,1831,Culliganlaan 2F,+32 2 715 20 60,www.maxxium.be,info.belgium@maxxium.com
1625.,CATHAY INDUSTRIES EUROPE,NINOVE,46720,13,"25,601","16,048,249",0476 405 602,9400,Pamelstraat-Oost 442,+32 54 31 14 10,www.cathaypigments.com,
1626.,MONZA,SINT-MARTENS-LATEM,45113,13,"25,601","10,914,158",0439 325 272,9830,Kortrijksesteenweg 131,+32 9 282 88 58,www.monza-motors.com,info@monza.be
1627.,MYCAR.BE,SINT-MICHIELS,45113,12,"25,600","15,178,049",0848 684 375,8200,Koning Albert I-laan 84,+32 50 40 61 70,www.mycar.be,
1628.,ETABLISSEMENTEN VERHELST,OOSTENDE,45113,17,"25,584","9,184,542",0439 879 954,8400,Joseph Plateaustraat 1,+32 59 24 27 00,www.bmw.be,info@verhelst.net.bmw.be
1629.,STYLIN'ART,WIJNEGEM,46732,25,"25,583","20,028,754",0425 163 470,2110,Vosveld 1,+32 3 360 99 00,www.stylinart.be,welcome@stylinart.com
1630.,LABECO,DESSELGEM,46732,10,"25,581","16,786,844",0891 779 297,8792,Sprietestraat 326,+32 56 54 01 60,,
1631.,STAPLES BELGIUM,STROMBEEK-BEVER,46510,30,"25,580","16,760,773",0465 406 592,1853,Ringlaan 39,+32 2 661 96 11,www.staples.be,
1632.,INDUSTRIAL PLASTICS BELGIUM,WAREGEM,22230,104,"25,573","12,525,603",0416 763 864,8790,Steenovenstraat 30,+32 56 60 79 19,www.iplast.be,edp@iplast.be
1633.,IZOCK,HUMBEEK,47114,48,"25,558","5,428,589",0426 190 284,1851,Kerkstraat 132-134,+32 2 269 21 85,,izock@pandora.be
1634.,THERCON,AARTSELAAR,46742,44,"25,550","15,507,479",0448 595 405,2630,Kontichsesteenweg 52,+32 3 451 24 24,www.thercon.eu,sales@orcon.be
1635.,JOHAN MICHIELSEN BEDRIJFSGEBOUWEN,HOOGSTRATEN,41203,34,"25,540","12,778,555",0473 786 503,2320,Industrieweg 30,+32 3 314 90 00,www.michielsen-metaal.be,
1636.,GROUP SUERICKX,HERENTALS,43992,86,"25,506","14,975,730",0896 188 443,2200,Toekomstlaan 6 A,+32 14 24 88 24,www.groupsuerickx.be,
1637.,INTERNATIONAL MARITIME SHIPPING,ANTWERPEN,52290,14,"25,501","6,590,700",0446 540 191,2060,Duboisstraat 39,+32 3 236 37 04,www.ims-shipping.com,ims.shipping@skynet.be
1638.,VAN ASSCHE,DRONGEN,47114,47,"25,488","10,407,927",0461 061 388,9031,Noordhoutstraat 91,+32 9 356 00 84,www.vanassche-meyhui.be,
1639.,EUROGLAS DE LANDTSHEER,BORNEM,23120,63,"25,477","8,764,903",0429 500 459,2880,Puursesteenweg 377 b.1,+32 3 890 67 70,www.euroglas-dl.com,
1640.,MEDIA MARKT SINT-PIETERS-LEEUW,SINT-PIETERS-LEEUW,47430,44,"25,458","6,967,071",0869 757 329,1600,Bergensesteenweg 65-67,+32 2 371 23 70,,
1641.,SOCIETE ANVERSOISE DE TRANSPORT D'INDUSTRIE ET DE COMMERCE,ANTWERPEN,46731,19,"25,456","9,016,706",0404 669 746,2030,Noorderlaan 147,+32 3 647 07 68,,info@satic-minera.be
1642.,SELMUS,AALST,46431,24,"25,446","8,667,745",0439 993 879,9300,Pierre Corneliskaai 17,+32 53 76 73 40,,info@selmus.com
1643.,SEATS AND SOFAS,WOMMELGEM,46494,94,"25,424","9,006,202",0462 808 576,2160,Autolei 55,+32 16 26 29 07,www.seatsandsofas.be,roeselare@seatsandsofas.be
1644.,FOODCAREPLUS LOGISTICS,ANTWERPEN,52290,11,"25,420","4,585,501",0701 679 291,2000,Oudeleeuwenrui 25,+32 3 242 91 50,,
1645.,VPD,KOBBEGEM,49410,70,"25,415","12,108,538",0461 883 811,1730,Z. 4 Broekooi 170,+32 2 391 41 90,www.v-p-d.com,info@v-p-d.com
1646.,ALSICO HIGH TECH,RONSE,46160,31,"25,400","15,958,611",0887 984 223,9600,Pont West 111,+32 55 23 71 71,www.alsicohightech.com,
1647.,RAYDEN,KORTENBERG,49410,49,"25,382","6,084,791",0414 684 896,3070,Jan-Baptist Vinkstraat 11,+32 2 254 08 08,raydentransport.be,
1648.,TUYTELAERS,RAVELS,23700,25,"25,371","18,179,086",0403 774 178,2380,Klein Ravels 87,+32 14 65 44 44,www.tuytelaers.be,info@tuytelaers.be
1649.,LEJEUNE,SINT-KATELIJNE-WAVER,46319,20,"25,369","4,267,106",0415 868 890,2860,Strijbroek 3,+32 15 31 69 31,www.nvlejeune.be,info@nvlejeune.be
1650.,INDUPOL INTERNATIONAL,ARENDONK,22230,144,"25,366","13,804,059",0436 120 611,2370,Hoge Mauw 380,+32 14 68 91 91,www.indupol.com,
1651.,KATOEN NATIE,ANTWERPEN,52100,37,"25,356","1,511,847,270",0404 778 426,2060,Van Aerdtstraat 33,+32 3 221 68 11,www.katoennatie.com,info@katoennatie.com
1652.,DORMAKABA BELGIUM,BRUGGE,43999,85,"25,337","7,075,463",0455 986 706,8000,Monnikenwerve 17-19,+32 50 45 15 70,www.foquin.be,info-be@dorma.com
1653.,BOUWWERKEN VERMEIREN,SCHOTEN,41201,45,"25,324","11,394,033",0418 635 271,2900,Deurnevoetweg 2,+32 3 658 87 89,,info@bouwwerken-vermeiren.be
1654.,VEEVOEDERS A. LAROY,EEKLO,46216,14,"25,308","18,494,264",0413 967 492,9900,Tieltsesteenweg 175,+32 9 378 05 78,,info@voederslaroy.be
1655.,RUBIX,ANTWERPEN,46699,63,"25,307","8,226,514",0424 123 689,2030,Luithagen-Haven 2A,+32 4 361 13 27,www.ramaekers.be,info@ramaekers.be
1656.,GOUDWISSELKANTOOR BE,GENT,46480,52,"25,304","4,214,171",0761 374 774,9000,Sint-Lievenspoortstraat 305,+32 9 233 45 54,,
1657.,AANNEMINGEN BOSSCHAERT,KORTRIJK,43110,54,"25,296","13,174,489",0442 219 238,8500,'t Hoge 114,+32 56 20 07 83,www.goudengids.be/ms/ms/aannemingen_bosschaert_nv%,info@bosschaert.be
1658.,BIOSTOOM BERINGEN,PAAL,38219,11,"25,295","118,614,758",0678 742 850,3583,Industrieweg 150,+32 11 52 08 10,,
1659.,GALICO,VICHTE,46494,33,"25,288","17,737,190",0453 670 483,8570,Oudenaardestraat 49 b.b,+32 56 62 69 69,www.galico.be,info@galico.be
1660.,TOSHIBA GLOBAL COMMERCE SOLUTIONS (BENELUX),ZELLIK,46660,46,"25,274","18,841,638",0420 400 176,1731,Z. 1 Researchpark 1,+32 2 410 21 00,www.toshibatec-eu.com,info@toshibatec-eu.com
1661.,OMNICOL,WEELDE,20520,40,"25,235","10,466,878",0412 460 034,2381,Nijverheidsstraat 14,+32 14 65 62 85,www.omnicol.info,
1662.,BOUWMATERIALEN JULES FRANS,PUTTE,46731,17,"25,224","7,711,985",0416 788 016,2580,Vaatjesstraat 14,+32 15 76 76 36,www.jules-frans.be,info@jules-frans.be
1663.,CALLICANNE,WATOU,47300,17,"25,218","10,834,165",0461 566 184,8978,Callicannesweg 21,+32 57 36 76 78,www.bierenkarakter.be,
1664.,INTERNATIONALE TRANSPORTEN WALTER MERTENS EN CO,GEEL,49410,19,"25,210","15,072,178",0414 383 109,2440,Acaciastraat 23,+32 14 30 00 46,www.woutersbalen.com,transport.mertens@index.be
1665.,GHENT DREDGING,EKE,42911,41,"25,206","26,873,710",0415 953 915,9810,Steenweg 250,+32 9 222 61 57,www.ghentdredging.be/,info@ghentdredging.be
1666.,MORREN MOTOR,SINT-TRUIDEN,45113,32,"25,201","11,769,485",0406 164 140,3800,Luikersteenweg 131,+32 11 41 67 09,www.morrenmotor.be,info@morrenmotor.be
1667.,WILLIS TOWERS WATSON CONSULTING,ZAVENTEM,70220,112,"25,196","19,085,442",0428 591 926,1930,Da Vincilaan 5,+32 2 465 83 14,www.watsonwyatt.be,brussels.consulting@watsonwyatt.com
1668.,EKINOPS BELGIUM,HEVERLEE,26200,103,"25,163","17,828,888",0883 737 801,3001,Geldenaaksebaan 335,+32 16 79 97 99,,
1669.,ALUK BELGIUM,HAMME (VL.),46720,73,"25,158","12,011,194",0888 805 159,9220,Zwaarveld 44,+32 52 48 48 48,,
1670.,AD ULTIMA,KORTRIJK,47410,89,"25,157","20,030,656",0472 713 068,8500,Beneluxpark 7,+32 56 74 07 40,,info@adultima.be
1671.,SERIS TECHNOLOGY,AARSCHOT,80200,169,"25,150","18,083,015",0475 583 377,3200,Kleine Mechelsebaan 52 A,+32 16 68 98 68,www.belseccom.be,info@belseccom.be
1672.,INTERNATIONAL IMAGING MATERIALS (EUROPE),GEEL,46751,25,"25,138","8,134,297",0473 323 475,2440,Liesdonk 5 b.B,+32 14 56 01 90,www.iimak.eu,info@iimak.be
1673.,INTERXION BELGIUM,ZAVENTEM,82990,20,"25,126","38,366,729",0471 625 579,1930,Wezembeekstraat 2,+32 2 725 80 49,www.interxion.com,infobe@interxion.com
1674.,VAVATO,SINT-NIKLAAS,47910,32,"25,118","7,356,969",0599 890 164,9100,Passtraat 15,+32 3 777 76 65,,
1675.,NORTH SEA EXPRESS,ZEEBRUGGE,49410,68,"25,111","17,534,522",0401 172 105,8380,Koggenstraat 2,+32 50 55 96 00,www.nse-transport.be,info@nse-transport.be
1676.,ANDERS BETON,GROBBENDONK,46739,15,"25,109","5,362,193",0821 655 821,2280,Industrieweg 24,+32 3 315 72 72,www.andersbeton.com,
1677.,MAGNETROL INTERNATIONAL,ZELE,26510,116,"25,101","22,210,478",0411 639 987,9240,Heikensstraat 6,+32 52 45 11 11,www.magnetrol.com,info@magnetrol.be
1678.,AVANT MACHINERY,SINT-TRUIDEN,46630,18,"25,099","11,976,304",0474 042 463,3800,Tiensesteenweg 240,+32 11 68 78 65,www.toratrack.be,
1679.,SAMOCO,ZWIJNDRECHT,43999,123,"25,094","16,164,750",0543 441 015,2070,Vitshoekstraat 1,+32 3 210 23 40,www.samoco.be,
1680.,CERELIA BELGIUM,VEURNE,10720,111,"25,084","12,724,185",0457 576 318,8630,Ondernemingenstraat 5 b.A,+32 58 33 06 60,www.diksmuidsepannenkoeken.be,diksmuidse.pannenkoeken@online.be
1681.,INJEXTRU PLASTICS,TIELT,20160,85,"25,079","9,532,151",0405 190 972,8700,Szamotulystraat 15,+32 51 42 39 00,www.iplast.be,info@injextru.be
1682.,MUYLLE-FACON,IZEGEM,46751,72,"25,078","30,620,362",0607 980 657,8870,Ambachtenstraat 58,+32 51 30 80 54,,
1683.,VITAFOR,SINT-NIKLAAS,10910,15,"25,071","11,393,157",0412 725 991,9100,Industriepark-Noord 18 19,+32 3 766 14 14,www.vitafor.com,vitafor@vitafor.com
1684.,SMET PRODUCTIONS,KALMTHOUT,10820,44,"25,061","14,372,561",0475 260 111,2920,Onderzeel 1,+32 3 620 16 10,www.smet.be,
1685.,GAVRA,GEEL,46735,51,"25,050","17,164,290",0403 771 705,2440,Fabriekstraat 16,+32 14 58 92 62,www.gavra.be,
1686.,IMMO BILZEN DE SCHAETZEN,BILZEN,45201,31,"25,030","10,189,998",0428 983 686,3740,Maastrichterstraat 212,+32 89 41 33 61,www.garagebeckers.be,verkoop@garagebeckers.be
1687.,SEA-TANK TERMINAL ANTWERP,ANTWERPEN,52100,51,"25,028","54,482,094",0702 863 483,2030,Polderdijkweg 24,,,
1688.,LABCORP,MECHELEN,72190,79,"25,024","24,937,564",0465 578 521,2800,Zandvoortstraat 2,+32 15 24 14 67,www.labcorp.com,info@labcorp.com
1689.,WYNN'S BELGIUM,SINT-NIKLAAS,20590,44,"25,023","20,522,202",0404 615 605,9100,Industriepark-West 46,+32 3 766 60 20,www.wynns.be,mail@wynns.be
1690.,THE FASHION SOCIETY,MERCHTEM,46499,149,"25,011","129,523,032",0553 548 910,1785,Brusselsesteenweg 185,+32 2 568 11 85,www.afraluca.com,
1691.,BASF COATINGS SERVICES,BORNEM,20120,69,"25,006","8,749,348",0464 649 596,2880,Rijksweg 14,+32 3 740 38 11,www.basf.be,
1692.,BROUWERIJ DE BRABANDERE,BAVIKHOVE,11050,81,"24,982","34,479,988",0442 443 823,8531,Rijksweg 33,+32 56 71 90 91,www.brouwerijdebrabandere.be,info@bavik.be
1693.,DOCKX RENTAL,WILRIJK,77110,83,"24,978","10,934,991",0449 245 996,2610,Terbekehofdreef 10,+32 3 828 80 80,www.dockx.be,info@dockx.be
1694.,MELK INRICHTING KRUISHOUTEM,KRUISEM,10510,62,"24,966","10,487,807",0411 107 873,9770,Hoogstraat 25,+32 9 333 93 99,www.mik.eu/nl/bedrijf,
1695.,WUNDERMAN Y&R,ANTWERPEN,73110,116,"24,966","16,090,477",0474 139 661,2018,Generaal Lemanstraat 47 b.2,+32 3 286 44 50,www.thesedays.com,welcome@thesedays.com
1696.,KATOEN NATIE TANK OPERATIONS,KALLO (KIELDRECHT),52290,19,"24,956","7,906,453",0440 566 080,9130,Land van Waaslaan 1,+32 3 221 60 71,,
1697.,DUMOBIL CONSTRUCT,TIELT,41201,14,"24,956","31,246,489",0831 773 911,8700,Felix D'Hoopstraat 180,+32 51 40 10 12,www.dumobil.be,info@dumobil.be
1698.,PHILIP MISEREZ,GODVEERDEGEM,47114,42,"24,942","5,765,150",0438 988 445,9620,Langestraat 53,+32 9 364 44 20,,
1699.,MVM FRESH,GERAARDSBERGEN,47114,32,"24,942","7,161,495",0644 787 704,9500,Astridlaan 72,+32 54 41 01 78,,
1700.,HUYBRECKX,TURNHOUT,41201,65,"24,938","9,176,171",0404 157 725,2300,Kastelein 57,+32 14 42 24 51,www.huybreckx.be,huybreckx@cobonet.be
1701.,DAVO SINT-TRUIDEN,SINT-TRUIDEN,45201,15,"24,933","5,970,858",0567 926 288,3800,Spookvliegerlaan 1131,+32 11 71 30 00,www.davo.bmw.be,
1702.,WOODSTOXX,MENEN,47524,64,"24,931","12,027,900",0887 365 995,8930,Hogeweg 245,+32 491 370 987,www.woodstoxx.be,
1703.,ONLY STORES BELGIUM,ANTWERPEN,47716,144,"24,921","10,441,631",0536 582 719,2000,Keizerstraat 9,+32 3 776 06 27,,
1704.,VAN MOSSEL FCA BELGIE,HASSELT,45113,27,"24,911","7,089,704",0429 998 525,3500,Hellebeemden 2,+32 11 27 12 22,www.fiat.be/,info@bruyninx.be
1705.,TRANSPORT VAN DELM,ANTWERPEN,52290,41,"24,889","9,972,783",0434 717 079,2018,Arthur Goemaerelei 49,+32 3 237 82 62,www.vandelm.be,transport@vandelm.be
1706.,ARTOOS,KAMPENHOUT,18120,118,"24,882","10,870,360",0454 157 562,1910,Oudestraat 19,+32 16 60 00 85,drukkerij-gids.be,info@drukkerij.artoos.be
1707.,EIB INSULATION,SCHOTEN,43291,67,"24,873","11,914,697",0506 928 334,2900,Melkerijstraat 61-63,+32 14 58 01 30,eib-insulation.com,
1708.,KREGLINGER EUROPE,ANTWERPEN,46751,20,"24,872","31,718,060",0450 357 241,2000,Grote Markt 7,+32 3 222 20 22,www.kreglinger.com,info@kreglinger.com
1709.,BEERENS O.C.,WIJNEGEM,45113,21,"24,871","8,703,814",0821 550 804,2110,'s Gravenwezelsteenweg 59,+32 473 707 306,www.beerens.be,
1710.,MRC GLOBAL (BELGIUM),MERKSEM,46620,54,"24,870","13,896,614",0415 104 174,2170,Vaartkaai 50,+32 3 205 13 20,www.mrcglobal.com,sales@transmark-group.com
1711.,SUNPARKS LEISURE,DE HAAN,55202,224,"24,865","45,477,617",0431 404 530,8420,Wenduinesteenweg 150,+32 50 42 95 96,www.sunparks.be,info@sunparks.be
1712.,ANTWERP TERMINAL & PROCESSING COMPANY,ANTWERPEN,46120,105,"24,828","188,623,574",0428 806 613,2030,Beliweg 20,+32 3 303 16 00,www.petroplusholdings.com,info@uniref.be
1713.,THOEN,AALST,45113,17,"24,823","20,458,794",0476 117 273,9300,Bergemeersenstraat 120,+32 53 60 60 60,,info@thoena.audi.be
1714.,MAYERLINE,HOUTHALEN,47711,158,"24,817","10,689,679",0400 573 277,3530,Centrum-Zuid 3401,+32 2 542 00 20,www.mayerline.be,info@mayerline.be
1715.,ALGEMEEN MEDISCH LABORATORIUM WEST,ARDOOIE,86901,71,"24,808","22,550,070",0437 880 071,8850,Motestraat 35,+32 51 74 73 61,www.labovanwaes.com,
1716.,LAGAE JOSEPH ET FILS COMMERCE ET INDUSTRIE DU LIN,KUURNE,46699,34,"24,808","12,912,299",0405 348 251,8520,Kortrijksestraat 30,+32 56 71 20 41,,wmsupplies@skynet.be
1717.,HITACHI VANTARA BELGIUM,ZAVENTEM,62010,19,"24,807","17,463,855",0472 137 206,1930,Da Vincilaan 3,+32 475 550 146,www.hds.com,
1718.,HANDIRI CARS,SINT-NIKLAAS,45111,15,"24,805","11,858,700",0883 086 911,9100,Hoogkamerstraat 31,+32 3 772 30 36,handiricars.be,
1719.,JERMAYO,LIER,10840,42,"24,795","13,288,718",0427 465 637,2500,Industriestraat 15,+32 3 489 31 43,www.jermayo.com,jermayo@skynet.be
1720.,EDMAC EUROPE,WILRIJK,46620,46,"24,786","11,292,376",0417 686 156,2610,Terbekehofdreef 54,+32 3 750 80 11,www.edmac.eu,
1721.,PILKINGTON AUTOMOTIVE BELGIUM,TEMSE,45310,39,"24,780","11,745,430",0432 160 239,9140,Krijgsbaan 247,+32 3 457 36 26,www.pilkington.com,
1722.,VERCARO,WETTEREN,46321,37,"24,779","4,825,499",0833 748 058,9230,Kwatrechtsteenweg 109,+32 9 252 17 18,,
1723.,GENERALE MAATSCHAPPIJ VOOR PLASTIEK INTERNATIONAAL,DEINZE,22290,38,"24,778","14,645,084",0415 054 981,9800,Karrewegstraat 150,+32 9 386 32 32,www.gmp.be,info@gmp.be
1724.,RAD,DRONGEN,45320,16,"24,776","11,847,493",0421 012 563,9031,Landegemstraat 4,+32 9 282 94 10,www.rad.be,info@rad.be
1725.,ADAMS POLENDAM,BEERSE,38323,62,"24,773","18,769,151",0453 977 024,2340,Polendam 13,+32 14 61 71 83,www.adams-polendam.be,info@adams-polendam.be
1726.,POWER SOLUTIONS,WIJNEGEM,77399,23,"24,765","30,919,894",0414 641 049,2110,Blikstraat 2,+32 3 325 88 00,www.powersolutions.eu,
1727.,REYNDERS,HOUTHALEN,41203,86,"24,748","14,484,047",0411 630 683,3530,Centrum-Zuid 2049,+32 11 60 56 56,www.reynders.be,info@reynders.be
1728.,SPOTIT,MERELBEKE,62030,82,"24,735","11,602,326",0553 580 186,9820,Guldensporenpark 30,+32 9 394 44 41,www.spotit.be,
1729.,MULTI PACKAGING SOLUTIONS GENT,MARIAKERKE,18120,188,"24,704","36,247,978",0401 078 172,9030,Industrieweg 192,+32 9 237 29 11,,info@mare.fieldboxmore.com
1730.,HEAVY HANDLING,KALLO (KIELDRECHT),46694,13,"24,686","9,613,996",0832 027 101,9130,Steenlandlaan 1112,+32 3 210 00 40,www.heavyhandling.be,
1731.,VAN AKELYEN BOUWMATERIALEN,ZELE,47789,18,"24,675","24,148,717",0412 781 421,9240,Heirbaan 19,+32 52 44 40 31,www.vanakelyen.be,
1732.,ALBERT BRILLE VLAS EN,WEVELGEM,13100,16,"24,662","26,914,617",0413 227 819,8560,Moorselestraat 183,+32 56 43 20 30,www.albertbrille.be,
1733.,AIRKAN,OUDENAARDE,25999,73,"24,649","26,356,462",0423 001 459,9700,Berchemweg 105,+32 55 31 33 75,www.airkan.be,info@airkan.be
1734.,LOVELD,AALTER,23610,91,"24,641","15,798,281",0445 434 193,9880,Brug-Zuid 12,+32 9 325 86 60,www.loveld.com,secretar@loveld.com
1735.,VDS,DEERLIJK,10910,20,"24,634","14,319,619",0443 713 137,8540,Paanderstraat 40,+32 56 71 91 68,,vimix@skynet.be
1736.,SMET CHOCOLATERIE,KALMTHOUT,10820,19,"24,633","8,809,086",0453 897 444,2920,Onderzeel 1,+32 3 320 94 40,www.smet.be,info@smet.be
1737.,ILLOCHROMA HAONENG BELGIUM,GENK,17290,71,"24,630","38,669,969",0835 708 646,3600,Henry Fordlaan 7,+32 89 84 80 84,www.illochroma.com,
1738.,LEIEAUTO S,ZULTE,45113,11,"24,623","7,978,235",0426 989 644,9870,Staatsbaan 239 A,+32 9 388 82 07,www.chrysler.be,leie_autos@chrysler.be
1739.,INTERGEMEENTELIJKE OPDRACHTHOUDENDE VERENI. HUISVUILVERWERKING MEETJES.,EEKLO,38213,92,"24,607","58,404,713",0220 574 436,9900,Sint-Laureinsesteenweg 29,+32 9 377 82 11,,ivm@ivmeeklo.be
1740.,NXP SEMICONDUCTORS BELGIUM,HEVERLEE,71121,105,"24,604","17,982,895",0882 479 076,3001,Interleuvenlaan 80,+32 16 39 08 11,,
1741.,OBUMEX,STADEN,31091,87,"24,596","20,344,681",0405 584 417,8840,Diksmuidestraat 121,+32 51 70 50 71,www.obumex.be,design@obumex.be
1742.,HARIBO BELGIE,KONTICH,10820,63,"24,589","20,652,028",0448 876 507,2550,Duffelsesteenweg 233,+32 3 450 73 70,www.haribo.com,info@be.haribo.com
1743.,SALCO,WESTMALLE,46731,27,"24,578","6,083,946",0428 971 810,2390,Delften 6,+32 3 340 47 00,www.salco-malle.be,sales@salco-malle.be
1744.,GARAGE DECANCQ,TIELT,45113,20,"24,558","10,005,975",0860 856 192,8700,Lammersakker 17,+32 51 46 03 90,,
1745.,THYSSENKRUPP PLASTICS BELGIUM,LOKEREN,46769,41,"24,528","17,887,471",0402 958 388,9160,Brandstraat 11,+32 15 45 32 22,,
1746.,BOSAL EMISSION CONTROL SYSTEMS,LUMMEN,71121,130,"24,518","31,495,197",0431 440 855,3560,Dellestraat 20,+32 13 53 08 00,www.bosal.be,pz.lummen@eur.bosal.com
