,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
204,VAN MOSSEL VAN KELST LEUVEN,HERENT,23,28346137,9523233,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 22 80 28,,BE0677633882,1534758,0677 633 882,Brusselsesteenweg 31,3020,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
205,IZOCK,HUMBEEK,46,28314827,5300401,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 269 21 85,izock@pandora.be,BE0426190284,3736317,0426 190 284,Kerkstraat 132-134,1851,,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen (verkoopsoppervlakte tussen 400 m² en minder dan 2500 m²),Niet beursgenoteerd
206,ABTS,BIERBEEK,13,28314240,43654743,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 46 03 11,info@abts.be,BE0403553850,10898204,0403 553 850,Tiensesteenweg 63,3360,www.abts.org.br,"Groothandel in dranken, algemeen assortiment",Niet beursgenoteerd
207,ERNST & YOUNG ADVISORY SERVICES,DIEGEM,121,28285894,10827921,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 774 91 11,tsrs@be.ey.com,BE0467239793,9177786,0467 239 793,De Kleetlaan 2,1831,www.ey.be,Overige diensten op het gebied van informatietechnologie en computer,Niet beursgenoteerd
208,WILLO MARKET,GROOT-BIJGAARDEN,42,28219619,8307273,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 463 06 54,,BE0419707716,3183400,0419 707 716,Brusselstraat 381,1702,willowsmarket.com,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen (verkoopsoppervlakte < 100 m²),Niet beursgenoteerd
209,MYLAN,HOEILAART,73,28216023,55172075,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 657 79 26,,BE0885805780,17405303,0885 805 780,Terhulpsesteenweg 6A,1560,www.mylan.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
210,JOS LEEMPUT,HAKENDOVER,8,28148126,12074067,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 81 32 37,,BE0424110724,723157,0424 110 724,Oude Heerweg 21,3300,www.leemput.be,"Groothandel in vlees en vleesproducten, uitgezonderd vlees van wild en van gevogelte",Niet beursgenoteerd
211,CARRO - BEL,TERNAT,47,28139225,31404467,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 582 33 26,,BE0451469375,7610612,0451 469 375,Industrielaan 38,1740,www.carrobel.be,Chapewerken,Niet beursgenoteerd
212,NINATRANS,HEVERLEE,124,28130008,13610527,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 46 80 08,info@ninatrans.be,BE0419272206,7553607,0419 272 206,Geldenaaksebaan 489,3001,www.ninatrans.be,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
213,HOSPIDEX,TIENEN,30,27957077,11732818,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 82 58 29,info@h-w.be,BE0442014647,4524679,0442 014 647,Grijpenlaan 23,3300,www.h-w.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
214,WINCO,HUIZINGEN,6,27898348,9681165,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 361 00 88,winco@skynet.be,BE0424408058,2727616,0424 408 058,Albert Vaucampslaan 110,1654,www.wincous.com,"Groothandel in dranken, algemeen assortiment",Niet beursgenoteerd
215,LANCER EUROPE,NOSSEGEM,8,27846872,13730717,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 476 260 426,,BE0460063179,3971758,0460 063 179,Mechelsesteenweg 592,1930,www.lancercorp.com,Vervaardiging van verkoopautomaten,Niet beursgenoteerd
216,OLLIVIER HALLE,LOT,24,27687610,12750941,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 333 37 00,,BE0536437912,2074269,0536 437 912,Bergensesteenweg 28,1651,garage.peugeot.be/ollivier-halle,"Handelsbemiddeling in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
217,MODERE EUROPE,DIEGEM,14,27391116,44868440,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 800 389 01,,BE0893292596,1894416,0893 292 596,Telecomlaan 9,1831,,Groothandel in parfumerieën en cosmetica,Niet beursgenoteerd
218,GKW,TERNAT,150,27304731,11487653,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 489 433 434,,BE0876638686,10241217,0876 638 686,Essenestraat 20,1740,g-k-w.be,Overige gespecialiseerde bouwwerkzaamheden,Niet beursgenoteerd
219,STEFANINI,ZAVENTEM,57,27291058,9329660,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 620 20 20,eusales@techteam.com,BE0458468124,7075755,0458 468 124,Belgicastraat 5,1930,www.techteam.com,Draadloze telecommunicatie,Niet beursgenoteerd
220,SEPTENTRIO,HEVERLEE,92,27260656,26865374,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 30 08 00,,BE0470094266,17063156,0470 094 266,Interleuvenlaan 15 b.I,3001,www.septentrio.com,"Ingenieurs en aanverwante technische adviseurs, exclusief landmeters",Niet beursgenoteerd
221,HITACHI VANTARA BELGIUM,ZAVENTEM,20,27115745,19112364,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 475 550 146,,BE0472137206,5399362,0472 137 206,Da Vincilaan 3,1930,www.hds.com,Ontwerpen en programmeren van computerprogramma's,Niet beursgenoteerd
222,MEDPACE LABORATORIES,HEVERLEE,107,27108266,18241454,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 40 77 75,,BE0879502859,8408271,0879 502 859,Technologielaan 19,3001,www.medpace.com,Activiteiten van medische laboratoria,Niet beursgenoteerd
223,SARENS BE,WOLVERTEM,165,27035268,44707528,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 52 30 03 49,info@laroy.be,BE0404032219,18211907,0404 032 219,Autoweg 8,1861,,Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg- en waterbouw,Niet beursgenoteerd
224,PEREMANS,HALLE,38,26948686,11943542,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 356 63 05,info@peremans.net,BE0405590256,1479136,0405 590 256,Zinkstraat 13,1500,www.peremans.net,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
225,HENRY SCHEIN,VILVOORDE,70,26919870,14157853,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 257 40 50,marketing@henryschein.be,BE0403138334,4605260,0403 138 334,Luchthavenlaan 20,1800,www.henryschein.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
226,MEDIA MARKT SINT-PIETERS-LEEUW,SINT-PIETERS-LEEUW,50,26836083,7118186,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 371 23 70,,BE0869757329,2460477,0869 757 329,Bergensesteenweg 65-67,1600,,Detailhandel in elektrische huishoudapparaten in gespecialiseerde winkels,Niet beursgenoteerd
227,MARTIN MOTORS,DROGENBOS,30,26465674,18324376,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 521 17 17,dewilde.motor@skynet.be,BE0459682307,2294117,0459 682 307,Grote Baan 336,1620,www.dewildemotor.be/,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
228,SICK,ZELLIK,54,26233622,11534919,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 466 55 66,info@sick.be,BE0431448872,6427992,0431 448 872,Doornveld 10,1731,www.sick.be,"Groothandel in andere machines en werktuigen, n.e.g.",Niet beursgenoteerd
229,BDO BEDRIJFSREVISOREN - BDO REVISEURS D ENTREPRISES,ZAVENTEM,128,26179934,14790754,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 778 01 00,bdoantwerpen@bdo.be,BE0431088289,7831725,0431 088 289,Da Vincilaan 9 b.E.6,1930,www.bdo.be,Bedrijfsrevisoren,Niet beursgenoteerd
230,GARAGE CAMMAERT,GOOIK,24,26150909,11410040,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 54 56 62 67,,BE0429918846,1311856,0429 918 846,Ninoofsesteenweg 48,1755,www.cammaertnv.be,"Handelsbemiddeling in andere motorvoertuigen (> 3,5 ton)",Niet beursgenoteerd
231,EUROGARDEN,TIENEN,36,25847625,15165104,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 80 54 39,,BE0436131202,3693674,0436 131 202,Sint-Truidensesteenweg 252,3300,www.eurogarden.be,"Groothandel in machines, werktuigen en toebehoren voor de  landbouw",Niet beursgenoteerd
232,BOUWBEDRIJF EMILE ROMBAUT,TERNAT,54,25817935,9565049,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 451 60 20,,BE0416595204,2760692,0416 595 204,Industrielaan 13,1740,,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
233,DELHOME,ASSE,46,25789223,5428939,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 377 16 67,bureau@caddyhome.be,BE0430190248,3424055,0430 190 248,Brusselsesteenweg 347,1730,www.caddyhome.be,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen (verkoopsoppervlakte < 100 m²),Niet beursgenoteerd
234,GREEN DIAMOND,BEKKEVOORT,2,25676433,6025558,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 51 48 02 28,,BE0883679304,995848,0883 679 304,Eugeen Coolsstraat 66,3460,www.greendiamond.be,"Groothandel in groenten en fruit, m.u.v. consumptieaardappelen",Niet beursgenoteerd
235,REMY COINTREAU BELGIUM,DIEGEM,33,25612326,18519100,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 715 20 60,info.belgium@maxxium.com,BE0458799508,2885334,0458 799 508,Culliganlaan 2 F,1831,www.maxxium.be,"Groothandel in dranken, algemeen assortiment",Niet beursgenoteerd
236,DANFOSS,GROOT-BIJGAARDEN,39,25500412,5285010,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 588 99 88,,BE0402904445,5386765,0402 904 445,Alfons Gossetlaan 28,1702,www.danfoss.be,"Vervaardiging van meet-, controle- en navigatie-instrumenten  en -apparatuur",Niet beursgenoteerd
237,TRANSPORT MARCEL DEPAIRE,MOLLEM,95,25430042,15517219,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 454 01 00,info@marcel-depaire.be,BE0402607804,7785884,0402 607 804,Z. 5 Mollem 460,1730,www.depaire.com,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
238,EUROFIBER,ZAVENTEM,55,25208952,75689246,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 307 12 00,info@eurofiber.com,BE0435204851,12727400,0435 204 851,Belgicastraat 5,1930,www.fibercorp.net/,Draadloze telecommunicatie,Niet beursgenoteerd
239,WILLIS TOWERS WATSON CONSULTING,ZAVENTEM,112,25196382,19085442,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 465 83 14,brussels.consulting@watsonwyatt.com,BE0428591926,19379839,0428 591 926,Da Vincilaan 5,1930,www.watsonwyatt.be,Markt- en opinieonderzoekbureaus,Niet beursgenoteerd
240,MERCEDES-BENZ TRUCKS CENTER SINT-PIETERS-LEEUW,SINT-PIETERS-LEEUW,56,25193027,11768238,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 376 21 50,,BE0700811439,2570584,0700 811 439,Bergensesteenweg 707,1600,www.truckcenter.sintpietersleeuw.mercedes-benz.be,"Detailhandel in andere motorvoertuigen (> 3,5 ton)",Niet beursgenoteerd
241,LACOM,HEVERLEE,43,25156623,11036060,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 40 07 20,lacom@lacom.be,BE0447601352,3208826,0447 601 352,Ambachtenlaan 2,3001,www.lacom.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
242,HORECA LOGISTIC SERVICES,TERNAT,147,25146261,23493140,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 583 50 25,info@hls.be,BE0424179218,5620016,0424 179 218,Industrielaan 16-20,1740,www.hls.be,"Groothandel in dranken, algemeen assortiment",Niet beursgenoteerd
243,INTERXION BELGIUM,ZAVENTEM,20,25126116,38366729,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 725 80 49,infobe@interxion.com,BE0471625579,14161898,0471 625 579,Wezembeekstraat 2,1930,www.interxion.com,Overige diensten op het gebied van informatietechnologie en computer,Niet beursgenoteerd
244,VAN MOSSEL VAN KELST AARSCHOT,AARSCHOT,19,25092409,10193602,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 56 20 61,,BE0897526251,912622,0897 526 251,Betekomsesteenweg 114 116,3200,,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
245,NXP SEMICONDUCTORS BELGIUM,HEVERLEE,101,24940195,16506141,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 39 08 11,,BE0882479076,17888806,0882 479 076,Interleuvenlaan 80,3001,,"Ingenieurs en aanverwante technische adviseurs, exclusief landmeters",Niet beursgenoteerd
246,BAE SYSTEMS APPLIED INTELLIGENCE (BELGIUM),HEVERLEE,15,24902202,28518225,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 38 78 80,,BE0465095006,3385882,0465 095 006,Geldenaaksebaan 329,3001,www.norkom.com,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
247,EKINOPS BELGIUM,HEVERLEE,106,24851339,11241968,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 79 97 99,,BE0883737801,10040114,0883 737 801,Geldenaaksebaan 335,3001,,"Ingenieurs en aanverwante technische adviseurs, exclusief landmeters",Niet beursgenoteerd
248,MAXON INTERNATIONAL,VILVOORDE,94,24797246,14798353,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 255 09 09,info@maxon.be,BE0402966803,10468430,0402 966 803,Luchthavenlaan 16-18,1800,www.maxon-europe.com,Vervaardiging van ovens en branders,Niet beursgenoteerd
249,TEXTYLE INTERNATIONAL,VILVOORDE,7,24694713,16769662,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 15 28 63 00,,BE0478103397,2155777,0478 103 397,Luchthavenlaan 25 B,1800,www.textyle.be,"Groothandel in kleding, met uitzondering van werk- en onderkleding",Niet beursgenoteerd
250,KWADRAAT,OPVELP,14,24639864,27383042,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 72 01 07,,BE0456406972,3170003,0456 406 972,Culostraat 44,3360,www.kwadraat.be,Ontwikkeling van residentiële bouwprojecten,Niet beursgenoteerd
251,GRITT PROJECTS,ZAVENTEM,77,24570238,16727719,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,info@digit4.be,BE0464702650,4381667,0464 702 650,Excelsiorlaan 35,1930,www.digit4.be,Overige diensten op het gebied van informatietechnologie en computer,Niet beursgenoteerd
252,VLAAMS SELECTIECENTRUM OVERHEIDSPERSONEEL CVBA TEVENS,WIJGMAAL,25,24566082,13598372,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 38 10 00,,BE0466540504,3432100,0466 540 504,Vaartdijk 3 b.101,3018,www.jobpunt.be,Arbeidsbemiddeling,Niet beursgenoteerd
253,GARAGE FEYAERTS,AARSCHOT,41,24562603,13201626,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 56 45 75,info@feyaerts.be,BE0426617876,3643543,0426 617 876,Leuvensesteenweg 526,3200,www.feyaerts.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
254,BROTHER INTERNATIONAL,GROOT-BIJGAARDEN,37,24466829,13757611,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 467 42 11,sales@brother.be,BE0411519530,5648691,0411 519 530,Industrialaan 32,1702,www.brother.be,"Groothandel in andere kantoormachines en kantoorbenodigdheden, met uitzondering van computers en randapparatuur",Niet beursgenoteerd
255,DAMOVO TECHNOLOGY SERVICES,SINT-STEVENS-WOLUWE,85,24425069,26037489,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 300 11 20,,BE0882831147,15304465,0882 831 147,Lenneke Marelaan 8,1932,,Bouw van civieltechnische werken voor elektriciteit en telecommunicatie,Niet beursgenoteerd
256,STO,MOLLEM,53,24341044,10014169,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 453 01 10,info.be@stoeu.com,BE0445962448,9060441,0445 962 448,Z. 5 Mollem 43,1730,www.isoned.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
257,SANHA FIITINGS,TERNAT,104,24249932,23313979,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 583 00 40,info@sanha.com,BE0434581477,7158858,0434 581 477,Industrielaan 7,1740,www.sanha.com,Vervaardiging van ijzer en staal en van ferrolegeringen,Niet beursgenoteerd
258,SERIS TECHNOLOGY,AARSCHOT,168,24185774,17723511,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 68 98 68,info@belseccom.be,BE0475583377,10821616,0475 583 377,Kleine Mechelsebaan 52 A,3200,www.belseccom.be,Particuliere beveiliging,Niet beursgenoteerd
259,KERAVISIE,GROOT-BIJGAARDEN,43,24093335,16713976,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 481 61 10,,BE0456289978,4217551,0456 289 978,Alfons Gossetlaan 19,1702,www.ceramega.be,"Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
260,MANROLAND BENELUX,WEMMEL,41,24028178,17115364,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 456 85 00,info@man-roland.be,BE0401870505,5308650,0401 870 505,Koningin Astridlaan 61,1780,www.man-roland.be,"Groothandel in andere machines en werktuigen, n.e.g.",Niet beursgenoteerd
261,GRAHAM PACKAGING BELGIUM,ROTSELAAR,46,23904954,15652511,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 44 16 00,,BE0471627163,7397091,0471 627 163,Melkerijstraat 3,3110,,Vervaardiging van verpakkingsmateriaal van kunststof,Niet beursgenoteerd
262,STELIMO,TIENEN,1,23880125,1335397,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 3 449 18 66,,BE0882120671,224290,0882 120 671,Grijpenlaan 19,3300,,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
263,VIEGA BELGIUM,ZAVENTEM,17,23560847,10618808,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 551 55 10,,BE0862044641,2224511,0862 044 641,Ikaroslaan 24,1930,www.viega.com,Groothandel in installatiemateriaal voor loodgieterswerk en verwarming,Niet beursgenoteerd
264,DRAGER SAFETY BELGIUM,WEMMEL,58,23442019,14577209,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 462 62 11,,BE0476476173,5882777,0476 476 173,Heide 10,1780,www.draeger.com/sites/fr_be/pages/default.aspx,"Vervaardiging van meet-, controle- en navigatie-instrumenten  en -apparatuur",Niet beursgenoteerd
265,RAYDEN,KORTENBERG,43,23437577,6036650,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 254 08 08,,BE0414684896,5685502,0414 684 896,Jan-Baptist Vinkstraat 11,3070,raydentransport.be,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
266,PROJECT ENGINEERING AND CONTRACTING,HEVERLEE,42,23430375,11575672,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 39 83 39,pec.info@pec.be,BE0458356276,3786598,0458 356 276,Technologielaan 12,3001,www.pec.be,"Ingenieurs en aanverwante technische adviseurs, exclusief landmeters",Niet beursgenoteerd
267,BALCHEM,GRIMBERGEN,36,23346339,23379752,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 251 60 87,chemogas@chemogas.com,BE0455374616,10271406,0455 374 616,Westvaartdijk 85,1850,www.chemogas.com,Vervaardiging van industriële gassen,Niet beursgenoteerd
268,LUDO,KORTENBERG,17,23337475,13257975,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 755 93 20,info@granvillebikes.com,BE0400734318,3935273,0400 734 318,Karel Van Miertstraat 7,3070,www.ludo.be,Groothandel in fietsen,Niet beursgenoteerd
269,ASPAC INTERNATIONAL,SINT-GENESIUS-RODE,8,23292970,15416259,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 308 72 92,info@aspacintl.com,BE0871179566,1917663,0871 179 566,Middenhutlaan 1,1640,www.aspacintl.com,Handelsbemiddeling in hout en bouwmaterialen,Niet beursgenoteerd
270,GEBR. HERMANS,STEENHUFFEL,10,23122275,9473115,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 52 30 91 04,info@gebr-hermans.be,BE0426779313,1484515,0426 779 313,Steenhuffeldorp 60,1840,www.gebr-hermans.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
271,DOKA,TERNAT,68,23106310,14589534,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 582 02 70,belgium@doka.be,BE0431554384,8601273,0431 554 384,Handelsstraat 3,1740,www.doka.com,Groothandel in gereedschapswerktuigen,Niet beursgenoteerd
272,LEO PEETERS VILVOORDE,VILVOORDE,21,23095788,11625534,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 251 10 61,caliege@infonie.be,BE0476297417,2126015,0476 297 417,Leuvensesteenweg 240,1800,www.leopeeters.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
273,TRANSPORT ROGER ROBBYNS EN CO,LONDERZEEL,56,22992127,6377347,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 3 866 04 21,transport.robbyns@skynet.be,BE0424305813,4058226,0424 305 813,Berreweide 26,1840,,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
274,V.Y.B.Y.,TIENEN,4,22935013,5908406,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 84 54 55,theaustralianhouse@yucom.be,BE0465743916,470391,0465 743 916,Esperantolaan 12,3300,www.australianhouse.net/,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
275,ANYSEALS,MERCHTEM,38,22914208,15797733,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 52 38 19 00,,BE0871936166,7149038,0871 936 166,Preenakker 2-4,1785,,Vervaardiging van kunststofartikelen voor de bouw,Niet beursgenoteerd
276,KELLY SERVICES OUTSOURCING AND CONSULTING GROUP,DIEGEM,15,22773427,3979187,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 211 08 90,ksantwerpen@kellyservices.be,BE0462689802,2830515,0462 689 802,Jan-Emiel Mommaertslaan 18 b.A,1831,www.kellyservices.be,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
277,AECOM BELGIUM,LEUVEN,43,22767525,4187637,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 70 10 50,,BE0479645796,4586006,0479 645 796,Maria-Theresiastraat 34 A,3000,www.aecom.com,"Overige zakelijke dienstverlening, n.e.g.",Niet beursgenoteerd
278,GFK BELGIUM,LEUVEN,118,22656869,15502545,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 74 24 24,info@significant.be,BE0447797629,10533609,0447 797 629,Arnould Nobelstraat 42,3000,www.significant.be,Markt- en opinieonderzoekbureaus,Niet beursgenoteerd
279,PUUR,HALLE,65,22585410,12475437,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 686 00 20,,BE0544328861,9949,0544 328 861,Edingensesteenweg 196,1500,,Eetgelegenheden met beperkte bediening,Niet beursgenoteerd
280,NELSON LABS,HEVERLEE,123,22583915,29719307,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 53 61 87,,BE0442395719,18922108,0442 395 719,Romeinse Straat 12,3001,www.toxikon.be,Overig speur- en ontwikkelingswerk op natuurwetenschappelijk  gebied,Niet beursgenoteerd
281,SIGNODE,ZAVENTEM,23,22384769,37735328,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 716 36 20,,BE0467122801,2110099,0467 122 801,Ikaroslaan 18,1930,www.signodeeurope.com,Vervaardiging van verpakkingsmachines,Niet beursgenoteerd
282,GTT BELGIUM,ZAVENTEM,11,22322210,190750967,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 761 65 00,,BE0468339853,11623898,0468 339 853,Leuvensesteenweg 573 b.2C,1930,www.interoute.be,Draadloze telecommunicatie,Niet beursgenoteerd
283,IN2COM,DIEGEM,222,22317019,9432394,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 713 95 11,,BE0448951632,11982221,0448 951 632,Woluwelaan 158,1831,www.sitel.com,Callcenters,Niet beursgenoteerd
284,HEREMANS-TERNAT,TERNAT,18,22228116,6792232,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 582 13 12,,BE0882349315,1434844,0882 349 315,Assesteenweg 101,1740,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
285,MIJTEN,BEKKEVOORT,17,22156980,7469967,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0400947718,1701067,0400 947 718,Staatsbaan 100,3460,www.mijten.be,Vervaardiging van maalderijproducten,Niet beursgenoteerd
286,HELIADIS BELGIUM,EPPEGEM,8,22103231,14788312,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 880 95 95,,BE0877320458,2478108,0877 320 458,Houtemsestraat 42,1980,www.nawhals.com,"Vervaardiging van specerijen, sauzen en kruiderijen",Niet beursgenoteerd
